fourgram1.txt## بسم الله الرحمن,[الآية 72]قال أبو يزيد
fourgram2.txt#[الآية 72]قال ابن عطاء,أجلس فيه وكان يقول
fourgram3.txt#أجلس كان يبتدئ بشرح,أصبح يعقوب عليه السلام
fourgram4.txt#أصبحت أصلحك الله كيف,أن الأمر لو كان
fourgram5.txt#أن الأمراض مكفرة للسيئات,أنقص كالإيمان لما كان
fourgram6.txt#أنقص من أعمال البر,أيام لم ينبغ أن
fourgram7.txt#أيام لما رجعنا إلى,إلا من الحق فإذا
fourgram8.txt#إلا من الحق ولا,إليه تحشرون الأنفال 24
fourgram9.txt#إليه تخصيصا لها وتفضيلا,احتفر قبرا ليدفن فيه
fourgram10.txt#احتقار الدنيا واستصغارها والنظر,الأصبهاني يقول سمعت محمد
fourgram11.txt#الأصبهاني يقول وأين مثل,البدايات الصاعدين في الترقي
fourgram12.txt#البدايات ثم قسم الأخلاق,الجنة وعرضت على منازلي
fourgram13.txt#الجنة وعليها ركب من,الخراز قال حدثنا إبراهيم
fourgram14.txt#الخراز قال حدثني غير,الذي هو عيش النفس
fourgram15.txt#الذي هو عين الجبروت,السموات والأرض ما داما
fourgram16.txt#السموات والأرض ما قبلت,العارف فوق كل أدب
fourgram17.txt#العارف فوق ما يقول,الفتوة أن لا تبالي
fourgram18.txt#الفتوة أن لا ترى,اللطيف الذي ينسى العباد
fourgram19.txt#اللطيف القريب الذي أمطر,الله عليه وسلم بأدلة
fourgram20.txt#الله عليه وسلم بأصل,المجلس لقد كان الجهل
fourgram21.txt#المجلس محقق إلا أنس,المواقفأوقفني وراء المواقف وقال
fourgram22.txt#المواقفة الصادقة يجتهد في,الورع وقد فعله بعض
fourgram23.txt#الورع وكان الثوري رضي,بالخير فخرجت منها وهم
fourgram24.txt#بالخير فقال من كان,بشيء منه إذ ليس
fourgram25.txt#بشيء منه إلا ما,بل هى النفس وهى
fourgram26.txt#بل هي تغلب القلب,بنفسك تأتي أبا ذر
fourgram27.txt#بنفسك علم ما يرد,تأله قلبه وتوقان نفسه
fourgram28.txt#تألهه كما روي رهبانية,تعالى أن ينسيني هذا
fourgram29.txt#تعالى أن ينسيه ذكر,تنسى ذنبك فقلت إن
fourgram30.txt#تنسى ذنبك قال أبو,جملتهم وان لا ينظروا
fourgram31.txt#جملتهم وان لم أصل,حضضنا عليه ومن البين
fourgram32.txt#حضنا على الدأب في,دأبهم إلى يوم القيامة
fourgram33.txt#دأبهم في النهار فإذا,ذلك والله عزيز يعز
fourgram34.txt#ذلك والمحبة التي ألقى,رمضان وقد رفعه إسماعيل
fourgram35.txt#رمضان وكانوا يستحبون أن,سمعت الوجيهي يقول سمعت
fourgram36.txt#سمعت الوجيهي يقول قال,شيئاواعلموا أن القوم استوفوا
fourgram37.txt#شيئاوالثاني أخذها من النطفة,عاد الانسان الذي هو
fourgram38.txt#عاد القلب على اللسان,عضو ثلاثا ثلاثا فقد
fourgram39.txt#عضو ضدها فتثقل بها,على حدته كذلك السنة
fourgram40.txt#على حدته كما يسلم,عليه عنده وسلك مسلك
fourgram41.txt#عليه عندي لصافحتكم الملائكة,عن الذين يختانون أنفسهم
fourgram42.txt#عن الرءوس والسوق فاغتنموا,عنه لبساطته في الغاية
fourgram43.txt#عنه لتلوين صفاته فيهم,فإذا صحت المعدة صدرت
fourgram44.txt#فإذا صحت لك الإرادة,فرحين وليس في ذلك
fourgram45.txt#فرحين ومن أجل هذا,فقلت لأبي عبيد ما
fourgram46.txt#فقلت لأصحابنا يقع لي,فى السلعة فلا يعرف
fourgram47.txt#فى السوالات المذكورة في,في النوم قال لي
fourgram48.txt#في النوم كأن الفرس,في مقاصدهم ومواردهم ومصاردهم
fourgram49.txt#في مقالة اللام من,قال * أنى لك
fourgram50.txt#قال * أنى يكون,قد ابتدعوا في كل
fourgram51.txt#قد ابتلاه بهواه ففخر,قيل فهو أخوك في
fourgram52.txt#قيل في أحد الوجوه,كل دقيقة اثنتا عشرة
fourgram53.txt#كل دقيقة تأتي عليه,لأنها بنيت على الطمعفإذا
fourgram54.txt#لأنها تحل له ويحل,لانفسهم ضرا ولا نفعا
fourgram55.txt#لانفسهم عند وجودهم لهمعناه,لله إقرار المؤمنين بوحدانيته
fourgram56.txt#لله إلا الله وقيل,له عشر حسنات والتالي
fourgram57.txt#له عشرا إلى سبعمائة,ليعذبهم في الآخرة فأراد
